Species	Total Proteins	Homologs	Singletons	Inparalogs
T. solium	12356	7741	4615	154
M. lignano	49013	41292	7721	38828
T. regenti	14478	10466	4012	3259
H. microstoma	10139	8120	2019	1004
T. saginata	13160	10842	2318	673
H. diminuta	15165	9937	5228	3023
F. hepatica	9731	4666	5065	247
S. mattheei	10770	8108	2662	478
S. curassoni	10084	8804	1280	587
E. multilocularis	10663	9538	1125	515
S. mansoni	9896	8844	1052	597
T. asiatica	13322	11188	2134	974
S. margrebowiei	9780	8651	1129	467
C. sinensis	13489	7385	6104	297
E. granulosus	10236	9243	993	133
M. corti	14704	8391	6313	2069
S. haematobium	9431	7950	1481	343
S. japonicum	10089	7515	2574	389
E. canadensis	11425	7300	4125	497
S. mediterranea	29850	11256	18594	9225
O. viverrini	16379	6508	9871	285
